ingre1,ingre2,distance
Acetovanillone,(-)-Norephedrine,3.142857143
Acetovanillone,"(E)-3-(3,4-dihydroxyphenyl)prop-2-enoic acid",2.111111111
Acetovanillone,Caffeic acid-phenethyl ester,3.142857143
Acetovanillone,"3',4',7-Trihydroxyisoflavone",2.142857143
Acetovanillone,phenylpropanolamine,2.272727273
Acetovanillone,(+)-Medicarpin,2.571428571
Acetovanillone,NSC70861,2.285714286
Acetovanillone,8-Prenylnaringenin,2.857142857
Mangiferin,Tetradecanoic acid,2.166666667
Mangiferin,PENTADECANOIC ACID,2.745762712
Mangiferin,HEXANOIC ACID,2.733333333
Mangiferin,lauric acid,2.676923077
Mangiferin,kaempferol,2.333333333
Mangiferin,guaiazulene,3.2
Mangiferin,benzaldehyde,2
Mangiferin,quercetin,1.740740741
Mangiferin,linoleic acid,2.12195122
Mangiferin,Decanoic acid,2.285714286
Mangiferin,Umbelliferone,2.333333333
Mangiferin,scopoletin,2.714285714
Mangiferin,RUTIN,2
Mangiferin,CINNAMIC ACID,2.2
Mangiferin,naphthalene,2.5
Mangiferin,STYRENE,1.5
Mangiferin,luteolin,1.666666667
Mangiferin,Arachidic acid,2.2
Mangiferin,octanoic acid,2.142857143
Mangiferin,palmitic acid,2.504761905
Mangiferin,stearic acid,2.307692308
Mangiferin,1-octanol,3.2
Mangiferin,benzyl alcohol,2
Mangiferin,NONANOIC ACID,3
Mangiferin,PHENANTHRENE,3.2
Mangiferin,M-XYLENE,2.666666667
Mangiferin,formononetin,2.714285714
Mangiferin,p-coumaric acid,2.5
Mangiferin,linolenic acid,2.230769231
Mangiferin,apigenin,1.454545455
Mangiferin,FURFURAL,2.2
Mangiferin,Ephedrine,2.2
Mangiferin,Matrine,1.333333333
Mangiferin,toluene,1.714285714
Mangiferin,P-CRESOL,2.166666667
Mangiferin,4-methylphenol,2.166666667
Mangiferin,1-HEPTANOL,2.2
Mangiferin,BETA-IONONE,2.2
Mangiferin,ethanol,2.169014085
Mangiferin,P-XYLENE,3.2
Mangiferin,Phenethylamine,2.393939394
Mangiferin,PSEUDOEPHEDRINE,1.8
Mangiferin,ISOBUTYRIC ACID,3
Mangiferin,Norephedrine,2
Mangiferin,Caffeic acid phenethyl ester,3.2
Mangiferin,Xanthohumol,3
Mangiferin,camphor,2.605263158
Mangiferin,Synephrine,3.2
Mangiferin,(E/Z)-ferulic acid,2
Mangiferin,acetate,2.477777778
Mangiferin,5-HYDROXYMETHYLFURFURAL,2.2
Mangiferin,"1,4-DIMETHYLNAPHTHALENE",3.2
Mangiferin,"2,6-DIMETHYLNAPHTHALENE",3.166666667
Mangiferin,(-)-Norephedrine,3
Mangiferin,"(E)-3-(3,4-dihydroxyphenyl)prop-2-enoic acid",2
Mangiferin,Caffeic acid-phenethyl ester,3.2
Mangiferin,"3',4',7-Trihydroxyisoflavone",2
Mangiferin,phenylpropanolamine,2.111111111
Mangiferin,(+)-Medicarpin,2.6
Mangiferin,NSC70861,2.2
Mangiferin,8-Prenylnaringenin,3.2
Tetradecanoic acid,Acetovanillone,2.142857143
Tetradecanoic acid,Mangiferin,2.166666667
PENTADECANOIC ACID,Acetovanillone,2.672131148
PENTADECANOIC ACID,Mangiferin,2.745762712
HEXANOIC ACID,Acetovanillone,2.64516129
HEXANOIC ACID,Mangiferin,2.733333333
lauric acid,Acetovanillone,2.552238806
lauric acid,Mangiferin,2.676923077
kaempferol,Acetovanillone,1.928571429
kaempferol,Mangiferin,2.333333333
guaiazulene,Acetovanillone,2.857142857
guaiazulene,Mangiferin,3.2
benzaldehyde,Acetovanillone,1.714285714
benzaldehyde,Mangiferin,2
quercetin,Acetovanillone,1.655172414
quercetin,Mangiferin,1.740740741
linoleic acid,Acetovanillone,2.046511628
linoleic acid,Mangiferin,2.12195122
Decanoic acid,Acetovanillone,2.222222222
Decanoic acid,Mangiferin,2.285714286
Umbelliferone,Acetovanillone,2
Umbelliferone,Mangiferin,2.333333333
scopoletin,Acetovanillone,2.777777778
scopoletin,Mangiferin,2.714285714
RUTIN,Acetovanillone,2.375
RUTIN,Mangiferin,2
CINNAMIC ACID,Acetovanillone,2.285714286
CINNAMIC ACID,Mangiferin,2.2
naphthalene,Acetovanillone,2.5
naphthalene,Mangiferin,2.5
STYRENE,Acetovanillone,2.25
STYRENE,Mangiferin,1.5
luteolin,Acetovanillone,2
luteolin,Mangiferin,1.666666667
Arachidic acid,Acetovanillone,2.285714286
Arachidic acid,Mangiferin,2.2
octanoic acid,Acetovanillone,2.222222222
octanoic acid,Mangiferin,2.142857143
palmitic acid,Acetovanillone,2.439252336
palmitic acid,Mangiferin,2.504761905
stearic acid,Acetovanillone,2.333333333
stearic acid,Mangiferin,2.307692308
1-octanol,Acetovanillone,3.142857143
1-octanol,Mangiferin,3.2
benzyl alcohol,Acetovanillone,2.142857143
benzyl alcohol,Mangiferin,2
NONANOIC ACID,Acetovanillone,3
NONANOIC ACID,Mangiferin,3
PHENANTHRENE,Acetovanillone,2.857142857
PHENANTHRENE,Mangiferin,3.2
M-XYLENE,Acetovanillone,2.5
M-XYLENE,Mangiferin,2.666666667
formononetin,Acetovanillone,2.777777778
formononetin,Mangiferin,2.714285714
p-coumaric acid,Acetovanillone,2
p-coumaric acid,Mangiferin,2.5
linolenic acid,Acetovanillone,2.178571429
linolenic acid,Mangiferin,2.230769231
apigenin,Acetovanillone,2.076923077
apigenin,Mangiferin,1.454545455
FURFURAL,Acetovanillone,2.285714286
FURFURAL,Mangiferin,2.2
Ephedrine,Acetovanillone,2.142857143
Ephedrine,Mangiferin,2.2
Matrine,Acetovanillone,2
Matrine,Mangiferin,1.333333333
toluene,Acetovanillone,2.222222222
toluene,Mangiferin,1.714285714
P-CRESOL,Acetovanillone,2.25
P-CRESOL,Mangiferin,2.166666667
4-methylphenol,Acetovanillone,2.25
4-methylphenol,Mangiferin,2.166666667
1-HEPTANOL,Acetovanillone,2.285714286
1-HEPTANOL,Mangiferin,2.2
BETA-IONONE,Acetovanillone,2.285714286
BETA-IONONE,Mangiferin,2.2
ethanol,Acetovanillone,2.219178082
ethanol,Mangiferin,2.169014085
P-XYLENE,Acetovanillone,2.857142857
P-XYLENE,Mangiferin,3.2
Phenethylamine,Acetovanillone,2.4
Phenethylamine,Mangiferin,2.393939394
PSEUDOEPHEDRINE,Acetovanillone,1.916666667
PSEUDOEPHEDRINE,Mangiferin,1.8
ISOBUTYRIC ACID,Acetovanillone,2.571428571
ISOBUTYRIC ACID,Mangiferin,3
Norephedrine,Acetovanillone,2.2
Norephedrine,Mangiferin,2
Caffeic acid phenethyl ester,Acetovanillone,3.142857143
Caffeic acid phenethyl ester,Mangiferin,3.2
Xanthohumol,Acetovanillone,2.714285714
Xanthohumol,Mangiferin,3
camphor,Acetovanillone,2.679487179
camphor,Mangiferin,2.605263158
Synephrine,Acetovanillone,3.142857143
Synephrine,Mangiferin,3.2
(E/Z)-ferulic acid,Acetovanillone,1.3
(E/Z)-ferulic acid,Mangiferin,2
acetate,Acetovanillone,2.412087912
acetate,Mangiferin,2.477777778
5-HYDROXYMETHYLFURFURAL,Acetovanillone,2.285714286
5-HYDROXYMETHYLFURFURAL,Mangiferin,2.2
"1,4-DIMETHYLNAPHTHALENE",Acetovanillone,2.857142857
"1,4-DIMETHYLNAPHTHALENE",Mangiferin,3.2
"2,6-DIMETHYLNAPHTHALENE",Acetovanillone,2.75
"2,6-DIMETHYLNAPHTHALENE",Mangiferin,3.166666667
(-)-Norephedrine,Acetovanillone,3.142857143
(-)-Norephedrine,Mangiferin,3
"(E)-3-(3,4-dihydroxyphenyl)prop-2-enoic acid",Acetovanillone,2.111111111
"(E)-3-(3,4-dihydroxyphenyl)prop-2-enoic acid",Mangiferin,2
Caffeic acid-phenethyl ester,Acetovanillone,3.142857143
Caffeic acid-phenethyl ester,Mangiferin,3.2
"3',4',7-Trihydroxyisoflavone",Acetovanillone,2.142857143
"3',4',7-Trihydroxyisoflavone",Mangiferin,2
phenylpropanolamine,Acetovanillone,2.272727273
phenylpropanolamine,Mangiferin,2.111111111
(+)-Medicarpin,Acetovanillone,2.571428571
(+)-Medicarpin,Mangiferin,2.6
NSC70861,Acetovanillone,2.285714286
NSC70861,Mangiferin,2.2
8-Prenylnaringenin,Acetovanillone,2.857142857
8-Prenylnaringenin,Mangiferin,3.2
Acetovanillone,Mangiferin,1.7
Mangiferin,Acetovanillone,1.7
Tetradecanoic acid,PENTADECANOIC ACID,2.650793651
Tetradecanoic acid,HEXANOIC ACID,2.640625
Tetradecanoic acid,lauric acid,2.362318841
Tetradecanoic acid,kaempferol,2.3125
Tetradecanoic acid,guaiazulene,3.555555556
Tetradecanoic acid,benzaldehyde,2.555555556
Tetradecanoic acid,quercetin,2.129032258
Tetradecanoic acid,linoleic acid,2.244444444
Tetradecanoic acid,Decanoic acid,2.090909091
Tetradecanoic acid,Umbelliferone,2.1
Tetradecanoic acid,scopoletin,2.818181818
Tetradecanoic acid,RUTIN,2.4
Tetradecanoic acid,CINNAMIC ACID,2.555555556
Tetradecanoic acid,naphthalene,2.571428571
Tetradecanoic acid,STYRENE,2.4
Tetradecanoic acid,luteolin,2.125
Tetradecanoic acid,Arachidic acid,2.111111111
Tetradecanoic acid,octanoic acid,2.181818182
Tetradecanoic acid,palmitic acid,2.339449541
Tetradecanoic acid,stearic acid,2.235294118
Tetradecanoic acid,1-octanol,3.222222222
Tetradecanoic acid,benzyl alcohol,2.444444444
Tetradecanoic acid,NONANOIC ACID,3.111111111
Tetradecanoic acid,PHENANTHRENE,3.555555556
Tetradecanoic acid,M-XYLENE,3.2
Tetradecanoic acid,formononetin,2.818181818
Tetradecanoic acid,p-coumaric acid,2.666666667
Tetradecanoic acid,linolenic acid,2.133333333
Tetradecanoic acid,apigenin,2.066666667
Tetradecanoic acid,FURFURAL,2.555555556
Tetradecanoic acid,Ephedrine,2.111111111
Tetradecanoic acid,Matrine,2
Tetradecanoic acid,toluene,2.454545455
Tetradecanoic acid,P-CRESOL,2.5
Tetradecanoic acid,4-methylphenol,2.5
Tetradecanoic acid,1-HEPTANOL,2.555555556
Tetradecanoic acid,BETA-IONONE,2.444444444
Tetradecanoic acid,ethanol,2.346666667
Tetradecanoic acid,P-XYLENE,3.555555556
Tetradecanoic acid,Phenethylamine,2.405405405
Tetradecanoic acid,PSEUDOEPHEDRINE,2.071428571
Tetradecanoic acid,ISOBUTYRIC ACID,3.333333333
Tetradecanoic acid,Norephedrine,2.083333333
Tetradecanoic acid,Caffeic acid phenethyl ester,3.333333333
Tetradecanoic acid,Xanthohumol,3.333333333
Tetradecanoic acid,camphor,2.6875
Tetradecanoic acid,Synephrine,3.333333333
Tetradecanoic acid,(E/Z)-ferulic acid,2.333333333
Tetradecanoic acid,acetate,2.418478261
Tetradecanoic acid,5-HYDROXYMETHYLFURFURAL,2.555555556
Tetradecanoic acid,"1,4-DIMETHYLNAPHTHALENE",3.555555556
Tetradecanoic acid,"2,6-DIMETHYLNAPHTHALENE",3.5
Tetradecanoic acid,(-)-Norephedrine,3
Tetradecanoic acid,"(E)-3-(3,4-dihydroxyphenyl)prop-2-enoic acid",2.363636364
Tetradecanoic acid,Caffeic acid-phenethyl ester,3.333333333
Tetradecanoic acid,"3',4',7-Trihydroxyisoflavone",2.555555556
Tetradecanoic acid,phenylpropanolamine,2.153846154
Tetradecanoic acid,(+)-Medicarpin,2.888888889
Tetradecanoic acid,NSC70861,2.555555556
Tetradecanoic acid,8-Prenylnaringenin,3.555555556
HEXANOIC ACID,PENTADECANOIC ACID,0.063063063
HEXANOIC ACID,lauric acid,0.162393162
HEXANOIC ACID,kaempferol,2.71875
HEXANOIC ACID,guaiazulene,4.035087719
HEXANOIC ACID,benzaldehyde,3.01754386
HEXANOIC ACID,quercetin,2.265822785
HEXANOIC ACID,linoleic acid,2.35483871
HEXANOIC ACID,Decanoic acid,3.016949153
HEXANOIC ACID,Umbelliferone,3
HEXANOIC ACID,scopoletin,3.627118644
HEXANOIC ACID,RUTIN,2.982758621
HEXANOIC ACID,CINNAMIC ACID,3.087719298
HEXANOIC ACID,naphthalene,2.741935484
HEXANOIC ACID,STYRENE,2.931034483
HEXANOIC ACID,luteolin,2.421875
HEXANOIC ACID,Arachidic acid,3.105263158
HEXANOIC ACID,octanoic acid,2.966101695
HEXANOIC ACID,palmitic acid,0.687898089
HEXANOIC ACID,stearic acid,2.830769231
HEXANOIC ACID,1-octanol,3.894736842
HEXANOIC ACID,benzyl alcohol,3.01754386
HEXANOIC ACID,NONANOIC ACID,3.526315789
HEXANOIC ACID,PHENANTHRENE,4.035087719
HEXANOIC ACID,M-XYLENE,3.775862069
HEXANOIC ACID,formononetin,3.627118644
HEXANOIC ACID,p-coumaric acid,3
HEXANOIC ACID,linolenic acid,2.564102564
HEXANOIC ACID,apigenin,2.714285714
HEXANOIC ACID,FURFURAL,3.052631579
HEXANOIC ACID,Ephedrine,2.578947368
HEXANOIC ACID,Matrine,2.879310345
HEXANOIC ACID,toluene,2.966101695
HEXANOIC ACID,P-CRESOL,2.965517241
HEXANOIC ACID,4-methylphenol,2.965517241
HEXANOIC ACID,1-HEPTANOL,3.105263158
HEXANOIC ACID,BETA-IONONE,3.052631579
HEXANOIC ACID,ethanol,2.06504065
HEXANOIC ACID,P-XYLENE,4.035087719
HEXANOIC ACID,Phenethylamine,2.058823529
HEXANOIC ACID,PSEUDOEPHEDRINE,2.403225806
HEXANOIC ACID,ISOBUTYRIC ACID,3.719298246
HEXANOIC ACID,Norephedrine,2.45
HEXANOIC ACID,Caffeic acid phenethyl ester,3.701754386
HEXANOIC ACID,Xanthohumol,3.736842105
HEXANOIC ACID,camphor,1.8515625
HEXANOIC ACID,Synephrine,3.701754386
HEXANOIC ACID,(E/Z)-ferulic acid,2.933333333
HEXANOIC ACID,acetate,0.905172414
HEXANOIC ACID,5-HYDROXYMETHYLFURFURAL,3.052631579
HEXANOIC ACID,"1,4-DIMETHYLNAPHTHALENE",4.035087719
HEXANOIC ACID,"2,6-DIMETHYLNAPHTHALENE",4.017241379
HEXANOIC ACID,(-)-Norephedrine,3.578947368
HEXANOIC ACID,"(E)-3-(3,4-dihydroxyphenyl)prop-2-enoic acid",2.915254237
HEXANOIC ACID,Caffeic acid-phenethyl ester,3.701754386
HEXANOIC ACID,"3',4',7-Trihydroxyisoflavone",3
HEXANOIC ACID,phenylpropanolamine,2.442622951
HEXANOIC ACID,(+)-Medicarpin,3.578947368
HEXANOIC ACID,NSC70861,3.087719298
HEXANOIC ACID,8-Prenylnaringenin,4.035087719
HEXANOIC ACID,Tetradecanoic acid,2.640625
lauric acid,PENTADECANOIC ACID,0.103448276
lauric acid,HEXANOIC ACID,0.162393162
lauric acid,kaempferol,2.710144928
lauric acid,guaiazulene,4
lauric acid,benzaldehyde,2.983870968
lauric acid,quercetin,2.154761905
lauric acid,linoleic acid,2.285714286
lauric acid,Decanoic acid,2.921875
lauric acid,Umbelliferone,2.904761905
lauric acid,scopoletin,3.625
lauric acid,RUTIN,2.904761905
lauric acid,CINNAMIC ACID,3.032258065
lauric acid,naphthalene,2.71641791
lauric acid,STYRENE,2.888888889
lauric acid,luteolin,2.420289855
lauric acid,Arachidic acid,2.983870968
lauric acid,octanoic acid,2.9375
lauric acid,palmitic acid,0.635802469
lauric acid,stearic acid,2.714285714
lauric acid,1-octanol,3.822580645
lauric acid,benzyl alcohol,2.967741935
lauric acid,NONANOIC ACID,3.483870968
lauric acid,PHENANTHRENE,4
lauric acid,M-XYLENE,3.714285714
lauric acid,formononetin,3.625
lauric acid,p-coumaric acid,2.953846154
lauric acid,linolenic acid,2.481927711
lauric acid,apigenin,2.617647059
lauric acid,FURFURAL,2.983870968
lauric acid,Ephedrine,2.516129032
lauric acid,Matrine,2.793650794
lauric acid,toluene,2.921875
lauric acid,P-CRESOL,2.904761905
lauric acid,4-methylphenol,2.904761905
lauric acid,1-HEPTANOL,3.048387097
lauric acid,BETA-IONONE,3
lauric acid,ethanol,2.109375
lauric acid,P-XYLENE,4
lauric acid,Phenethylamine,2.055555556
lauric acid,PSEUDOEPHEDRINE,2.358208955
lauric acid,ISOBUTYRIC ACID,3.806451613
lauric acid,Norephedrine,2.4
lauric acid,Caffeic acid phenethyl ester,3.629032258
lauric acid,Xanthohumol,3.774193548
lauric acid,camphor,1.812030075
lauric acid,Synephrine,3.629032258
lauric acid,(E/Z)-ferulic acid,2.846153846
lauric acid,acetate,0.924050633
lauric acid,5-HYDROXYMETHYLFURFURAL,2.983870968
lauric acid,"1,4-DIMETHYLNAPHTHALENE",4
lauric acid,"2,6-DIMETHYLNAPHTHALENE",3.984126984
lauric acid,(-)-Norephedrine,3.532258065
lauric acid,"(E)-3-(3,4-dihydroxyphenyl)prop-2-enoic acid",2.890625
lauric acid,Caffeic acid-phenethyl ester,3.629032258
lauric acid,"3',4',7-Trihydroxyisoflavone",2.951612903
lauric acid,phenylpropanolamine,2.393939394
lauric acid,(+)-Medicarpin,3.532258065
lauric acid,NSC70861,3.032258065
lauric acid,8-Prenylnaringenin,4
lauric acid,Tetradecanoic acid,2.362318841
kaempferol,PENTADECANOIC ACID,2.746031746
kaempferol,HEXANOIC ACID,2.71875
kaempferol,lauric acid,2.710144928
kaempferol,guaiazulene,2.888888889
kaempferol,benzaldehyde,2.111111111
kaempferol,quercetin,1.225806452
kaempferol,linoleic acid,1.955555556
kaempferol,Decanoic acid,2.636363636
kaempferol,Umbelliferone,2.5
kaempferol,scopoletin,1.454545455
kaempferol,RUTIN,2.6
kaempferol,CINNAMIC ACID,2.666666667
kaempferol,naphthalene,2.214285714
kaempferol,STYRENE,2.3
kaempferol,luteolin,1.8125
kaempferol,Arachidic acid,2.666666667
kaempferol,octanoic acid,2.363636364
kaempferol,palmitic acid,2.412844037
kaempferol,stearic acid,2.352941176
kaempferol,1-octanol,3.333333333
kaempferol,benzyl alcohol,2.444444444
kaempferol,NONANOIC ACID,3.111111111
kaempferol,PHENANTHRENE,2.888888889
kaempferol,M-XYLENE,3.1
kaempferol,formononetin,1.454545455
kaempferol,p-coumaric acid,2.25
kaempferol,linolenic acid,2.166666667
kaempferol,apigenin,1.6
kaempferol,FURFURAL,2.666666667
kaempferol,Ephedrine,2.666666667
kaempferol,Matrine,2.5
kaempferol,toluene,2
kaempferol,P-CRESOL,2
kaempferol,4-methylphenol,2
kaempferol,1-HEPTANOL,2.666666667
kaempferol,BETA-IONONE,2.666666667
kaempferol,ethanol,2.026666667
kaempferol,P-XYLENE,3.333333333
kaempferol,Phenethylamine,2.513513514
kaempferol,PSEUDOEPHEDRINE,1.928571429
kaempferol,ISOBUTYRIC ACID,3.222222222
kaempferol,Norephedrine,2.416666667
kaempferol,Caffeic acid phenethyl ester,3.555555556
kaempferol,Xanthohumol,3.222222222
kaempferol,camphor,2.6125
kaempferol,Synephrine,3.555555556
kaempferol,(E/Z)-ferulic acid,2.25
kaempferol,acetate,2.358695652
kaempferol,5-HYDROXYMETHYLFURFURAL,2.666666667
kaempferol,"1,4-DIMETHYLNAPHTHALENE",2.888888889
kaempferol,"2,6-DIMETHYLNAPHTHALENE",2.8
kaempferol,(-)-Norephedrine,3
kaempferol,"(E)-3-(3,4-dihydroxyphenyl)prop-2-enoic acid",2.363636364
kaempferol,Caffeic acid-phenethyl ester,3.555555556
kaempferol,"3',4',7-Trihydroxyisoflavone",2.555555556
kaempferol,phenylpropanolamine,2.384615385
kaempferol,(+)-Medicarpin,2.444444444
kaempferol,NSC70861,2.666666667
kaempferol,8-Prenylnaringenin,2.888888889
kaempferol,Tetradecanoic acid,2.3125
guaiazulene,PENTADECANOIC ACID,4.053571429
guaiazulene,HEXANOIC ACID,4.035087719
guaiazulene,lauric acid,4
guaiazulene,kaempferol,2.888888889
guaiazulene,benzaldehyde,3
guaiazulene,quercetin,3.083333333
guaiazulene,linoleic acid,3.289473684
guaiazulene,Decanoic acid,3
guaiazulene,Umbelliferone,2.333333333
guaiazulene,scopoletin,4
guaiazulene,RUTIN,3.333333333
guaiazulene,CINNAMIC ACID,3
guaiazulene,naphthalene,2.714285714
guaiazulene,STYRENE,3.333333333
guaiazulene,luteolin,3.222222222
guaiazulene,Arachidic acid,3
guaiazulene,octanoic acid,3
guaiazulene,palmitic acid,3.754901961
guaiazulene,stearic acid,3.4
guaiazulene,1-octanol,4
guaiazulene,benzyl alcohol,3
guaiazulene,NONANOIC ACID,4
guaiazulene,PHENANTHRENE,0
guaiazulene,M-XYLENE,2.666666667
guaiazulene,formononetin,4
guaiazulene,p-coumaric acid,2.2
guaiazulene,linolenic acid,3.347826087
guaiazulene,apigenin,2.5
guaiazulene,FURFURAL,3
guaiazulene,Ephedrine,3
guaiazulene,Matrine,3.333333333
guaiazulene,toluene,3.25
guaiazulene,P-CRESOL,1
guaiazulene,4-methylphenol,1
guaiazulene,1-HEPTANOL,3
guaiazulene,BETA-IONONE,3
guaiazulene,ethanol,3.529411765
guaiazulene,P-XYLENE,2
guaiazulene,Phenethylamine,3.866666667
guaiazulene,PSEUDOEPHEDRINE,3.428571429
guaiazulene,ISOBUTYRIC ACID,4
guaiazulene,Norephedrine,3.4
guaiazulene,Caffeic acid phenethyl ester,4
guaiazulene,Xanthohumol,4
guaiazulene,camphor,4.02739726
guaiazulene,Synephrine,4
guaiazulene,(E/Z)-ferulic acid,2.8
guaiazulene,acetate,3.751412429
guaiazulene,5-HYDROXYMETHYLFURFURAL,3
guaiazulene,"1,4-DIMETHYLNAPHTHALENE",0
guaiazulene,"2,6-DIMETHYLNAPHTHALENE",0.666666667
guaiazulene,(-)-Norephedrine,4
guaiazulene,"(E)-3-(3,4-dihydroxyphenyl)prop-2-enoic acid",3
guaiazulene,Caffeic acid-phenethyl ester,4
guaiazulene,"3',4',7-Trihydroxyisoflavone",3
guaiazulene,phenylpropanolamine,3.5
guaiazulene,(+)-Medicarpin,4
guaiazulene,NSC70861,3
guaiazulene,8-Prenylnaringenin,0
guaiazulene,Tetradecanoic acid,3.555555556
benzaldehyde,PENTADECANOIC ACID,3.035714286
benzaldehyde,HEXANOIC ACID,3.01754386
benzaldehyde,lauric acid,2.983870968
benzaldehyde,kaempferol,2.111111111
benzaldehyde,guaiazulene,3
benzaldehyde,quercetin,2.208333333
benzaldehyde,linoleic acid,2.473684211
benzaldehyde,Decanoic acid,2.25
benzaldehyde,Umbelliferone,2.333333333
benzaldehyde,scopoletin,3
benzaldehyde,RUTIN,2.333333333
benzaldehyde,CINNAMIC ACID,2
benzaldehyde,naphthalene,2.714285714
benzaldehyde,STYRENE,2.333333333
benzaldehyde,luteolin,2.111111111
benzaldehyde,Arachidic acid,2
benzaldehyde,octanoic acid,2.25
benzaldehyde,palmitic acid,2.794117647
benzaldehyde,stearic acid,2.6
benzaldehyde,1-octanol,3
benzaldehyde,benzyl alcohol,2
benzaldehyde,NONANOIC ACID,3
benzaldehyde,PHENANTHRENE,3
benzaldehyde,M-XYLENE,3
benzaldehyde,formononetin,3
benzaldehyde,p-coumaric acid,2.6
benzaldehyde,linolenic acid,2.347826087
benzaldehyde,apigenin,2.25
benzaldehyde,FURFURAL,2
benzaldehyde,Ephedrine,2
benzaldehyde,Matrine,2
benzaldehyde,toluene,2.25
benzaldehyde,P-CRESOL,2.333333333
benzaldehyde,4-methylphenol,2.333333333
benzaldehyde,1-HEPTANOL,2
benzaldehyde,BETA-IONONE,2
benzaldehyde,ethanol,2.573529412
benzaldehyde,P-XYLENE,3
benzaldehyde,Phenethylamine,2.833333333
benzaldehyde,PSEUDOEPHEDRINE,2.428571429
benzaldehyde,ISOBUTYRIC ACID,2
benzaldehyde,Norephedrine,2.4
benzaldehyde,Caffeic acid phenethyl ester,3
benzaldehyde,Xanthohumol,3
benzaldehyde,camphor,3.01369863
benzaldehyde,Synephrine,3
benzaldehyde,(E/Z)-ferulic acid,2.2
benzaldehyde,acetate,2.774011299
benzaldehyde,5-HYDROXYMETHYLFURFURAL,2
benzaldehyde,"1,4-DIMETHYLNAPHTHALENE",3
benzaldehyde,"2,6-DIMETHYLNAPHTHALENE",3
benzaldehyde,(-)-Norephedrine,3
benzaldehyde,"(E)-3-(3,4-dihydroxyphenyl)prop-2-enoic acid",2
benzaldehyde,Caffeic acid-phenethyl ester,3
benzaldehyde,"3',4',7-Trihydroxyisoflavone",2
benzaldehyde,phenylpropanolamine,2.5
benzaldehyde,(+)-Medicarpin,2
benzaldehyde,NSC70861,2
benzaldehyde,8-Prenylnaringenin,3
benzaldehyde,Tetradecanoic acid,2.555555556
quercetin,PENTADECANOIC ACID,2.269230769
quercetin,HEXANOIC ACID,2.265822785
quercetin,lauric acid,2.154761905
quercetin,kaempferol,1.225806452
quercetin,guaiazulene,3.083333333
quercetin,benzaldehyde,2.208333333
quercetin,linoleic acid,1.65
quercetin,Decanoic acid,2.384615385
quercetin,Umbelliferone,2.32
quercetin,scopoletin,2.346153846
quercetin,RUTIN,2.32
quercetin,CINNAMIC ACID,2.25
quercetin,naphthalene,2
quercetin,STYRENE,2
quercetin,luteolin,1.709677419
quercetin,Arachidic acid,2.416666667
quercetin,octanoic acid,2.269230769
quercetin,palmitic acid,1.991935484
quercetin,stearic acid,2.15625
quercetin,1-octanol,3.166666667
quercetin,benzyl alcohol,2.208333333
quercetin,NONANOIC ACID,2.833333333
quercetin,PHENANTHRENE,3.083333333
quercetin,M-XYLENE,3
quercetin,formononetin,2.346153846
quercetin,p-coumaric acid,2
